#epoch	step	MAE/at	MAEF	Val_MAE/at	Val_MAEF
1	100	0.032278508	0.54971284	0.03282776	0.48317912
2	200	0.034594905	0.25269407	0.052304078	0.24736339
3	300	0.035510823	0.21711558	0.04858551	0.22477457
4	400	0.047753002	0.20422949	0.044631958	0.21194558
5	500	0.043956928	0.19095774	0.05784302	0.20011239
6	600	0.045573622	0.18357055	0.05918274	0.19295573
7	700	0.041823488	0.18344375	0.05215454	0.18768314
8	800	0.04360741	0.17999052	0.051016238	0.18637438
9	900	0.04617286	0.16670841	0.053005982	0.17662024
10	1000	0.04321828	0.16994505	0.05733032	0.17032263
11	1100	0.051447358	0.15987454	0.045347597	0.16785887
12	1200	0.052161347	0.16679	0.041148376	0.16345057
13	1300	0.045808446	0.16270539	0.048028566	0.15947802
14	1400	0.05215391	0.16188306	0.04315796	0.15787247
15	1500	0.038117237	0.15544775	0.0563324	0.15775761
16	1600	0.036166623	0.15217897	0.044146728	0.15247725
17	1700	0.037685826	0.14349355	0.040750124	0.15161492
18	1800	0.03259272	0.14908968	0.0390152	0.14961393
19	1900	0.032280605	0.14409421	0.036624145	0.14490087
20	2000	0.031151585	0.13919316	0.038645934	0.14153987
21	2100	0.05419803	0.14414227	0.03942261	0.14344774
22	2200	0.027979936	0.1385961	0.035099793	0.13961232
23	2300	0.041352347	0.1366916	0.031300355	0.13572058
24	2400	0.027416464	0.13040319	0.03360138	0.13436
25	2500	0.04029822	0.13175546	0.038209535	0.13085333
26	2600	0.034005363	0.13532017	0.036949158	0.1273739
27	2700	0.030567804	0.12823707	0.030131532	0.12682658
28	2800	0.025018014	0.126258	0.028486634	0.12334768
29	2900	0.02943091	0.120866165	0.027886963	0.123924986
30	3000	0.0278939	0.12391727	0.054122925	0.12327603
31	3100	0.031087575	0.11419064	0.02425537	0.11959581
32	3200	0.025456205	0.12182778	0.029211426	0.1168486
33	3300	0.022222733	0.11484166	0.032556154	0.117310196
34	3400	0.0282561	0.11896028	0.027804567	0.11368134
35	3500	0.023618238	0.120572954	0.04534302	0.11684022
36	3600	0.022178525	0.115103945	0.02303772	0.111854084
37	3700	0.029824803	0.113816574	0.027165223	0.10930768
38	3800	0.022223404	0.11025725	0.02412262	0.10849733
39	3900	0.01977081	0.11319612	0.021655275	0.10801419
40	4000	0.028057767	0.10982855	0.021200562	0.11009502
41	4100	0.02047894	0.11103849	0.024319459	0.108132616
42	4200	0.019152675	0.109356016	0.020271301	0.105275825
43	4300	0.038769294	0.11124489	0.06790771	0.109013095
44	4400	0.019798946	0.10636808	0.022042846	0.105291165
45	4500	0.017322063	0.10388661	0.020217896	0.1075893
46	4600	0.02941025	0.10794882	0.023867799	0.11457185
47	4700	0.021579016	0.1107282	0.04481964	0.10011114
48	4800	0.025579313	0.101202495	0.025039673	0.103332266
49	4900	0.03265083	0.10422016	0.018479919	0.09813095
50	5000	0.016755922	0.104360454	0.018084718	0.09923545
51	5100	0.019891381	0.101133816	0.017897034	0.09866109
52	5200	0.023097608	0.10132506	0.016276551	0.099254884
53	5300	0.015623363	0.10163712	0.015533447	0.102356106
54	5400	0.019039277	0.099683695	0.017662048	0.09493293
55	5500	0.022754412	0.09900213	0.016488647	0.094557405
56	5600	0.026743118	0.099625155	0.034687806	0.09424455
57	5700	0.025178853	0.09806891	0.030545045	0.094715424
58	5800	0.02769247	0.099093765	0.032608032	0.09833971
59	5900	0.0156232165	0.09798511	0.015719606	0.09292108
60	6000	0.01574658	0.097896196	0.044750977	0.094123684
61	6100	0.022230333	0.09978214	0.035343934	0.09618264
62	6200	0.012588626	0.093457706	0.01483612	0.09030834
63	6300	0.021417346	0.10370019	0.015650941	0.09876575
64	6400	0.028189043	0.09565474	0.01375885	0.09807078
65	6500	0.01619501	0.09395313	0.015214539	0.093374446
66	6600	0.014799641	0.09725647	0.013682556	0.09544799
67	6700	0.017093658	0.09670679	0.013874817	0.091624595
68	6800	0.02658663	0.0918472	0.01341095	0.090687945
69	6900	0.021372296	0.0907404	0.029670715	0.089273
70	7000	0.02050946	0.093542874	0.032203674	0.0900615
71	7100	0.024470648	0.090724394	0.030308533	0.087248854
72	7200	0.014610214	0.088960305	0.027012635	0.088525385
73	7300	0.028316623	0.095489405	0.0460495	0.0947328
74	7400	0.012888007	0.09072539	0.013751221	0.086197525
75	7500	0.015555759	0.089055344	0.01282196	0.08973744
76	7600	0.0149333235	0.09023679	0.013909913	0.09368072
77	7700	0.02021379	0.09616922	0.026132202	0.087394565
78	7800	0.01345056	0.08854437	0.013360596	0.08584861
79	7900	0.021160394	0.09284775	0.036042787	0.084598124
80	8000	0.012849824	0.09196974	0.012060547	0.08687557
81	8100	0.012307014	0.08796108	0.014347839	0.08815536
82	8200	0.019308606	0.0899807	0.01720276	0.08304847
83	8300	0.012190919	0.08780789	0.011306763	0.08434255
84	8400	0.015277286	0.08861533	0.013012695	0.084477715
85	8500	0.013233246	0.08611484	0.013674927	0.0823142
86	8600	0.013469868	0.08696212	0.018035889	0.08117599
87	8700	0.018204315	0.08803709	0.0265213	0.081150465
