#epoch	step	MAE/at	MAEF	Val_MAE/at	Val_MAEF
1	100	0.039994694	0.46423388	0.034251403	0.37972412
2	200	0.039309822	0.30953783	0.025258483	0.2927456
3	300	0.030738905	0.27858645	0.017532349	0.26782832
4	400	0.024419516	0.25344315	0.01748352	0.24563715
5	500	0.030948365	0.25736275	0.043095093	0.22752649
6	600	0.025907418	0.23261304	0.014293212	0.21975552
7	700	0.031937778	0.19247402	0.019387817	0.20566648
8	800	0.028964367	0.19606215	0.025466919	0.20252654
9	900	0.023439078	0.21096198	0.011488037	0.19550504
10	1000	0.022564655	0.19068485	0.032918394	0.1906511
11	1100	0.037925344	0.19651425	0.04940216	0.18702185
12	1200	0.023239829	0.16073188	0.008939514	0.18251763
13	1300	0.020458084	0.18598993	0.012989197	0.17214149
14	1400	0.044126637	0.19750048	0.01837799	0.17103629
15	1500	0.038125735	0.19053763	0.017011719	0.16066901
16	1600	0.034101713	0.15285248	0.014601135	0.16063616
17	1700	0.057475366	0.17865098	0.013816528	0.16280927
18	1800	0.035973486	0.16185045	0.03420227	0.15294124
19	1900	0.029043227	0.1505511	0.05873718	0.15008013
20	2000	0.0331071	0.15795022	0.041026305	0.14656511
21	2100	0.02453184	0.138312	0.011681213	0.14422746
22	2200	0.0191316	0.1383971	0.0282193	0.14470915
23	2300	0.021200584	0.14652711	0.01609558	0.14040707
24	2400	0.025144815	0.15620391	0.009537048	0.1507443
25	2500	0.028206948	0.14573567	0.015638122	0.13920832
26	2600	0.01612101	0.13556264	0.011520996	0.13762288
27	2700	0.017743463	0.13451526	0.011506958	0.13477981
28	2800	0.028133638	0.14015973	0.024576416	0.13471374
29	2900	0.026729386	0.14138144	0.030474547	0.13188152
30	3000	0.016536957	0.12367747	0.014008788	0.13005762
31	3100	0.022842307	0.12722836	0.0227182	0.13181731
32	3200	0.024037655	0.14433867	0.07065124	0.13469519
33	3300	0.019309634	0.1311435	0.03271759	0.12737253
34	3400	0.02274433	0.11855923	0.018467711	0.122025646
35	3500	0.021653105	0.1169574	0.013481445	0.12225495
36	3600	0.028109845	0.1194098	0.01878479	0.12341498
37	3700	0.02165685	0.113927744	0.013845825	0.11834329
38	3800	0.016901148	0.114294134	0.011075134	0.11912995
39	3900	0.022877468	0.11490172	0.032851256	0.12207606
40	4000	0.030559724	0.11939038	0.031985473	0.12178782
41	4100	0.023053408	0.13258617	0.030926207	0.11850943
42	4200	0.020426203	0.11070221	0.036199033	0.11568794
43	4300	0.020815996	0.11136232	0.014067993	0.1155008
44	4400	0.022148155	0.10139246	0.011049194	0.11232472
45	4500	0.026356647	0.13054833	0.02958313	0.11576489
46	4600	0.024456156	0.11469663	0.030417785	0.11172687
47	4700	0.019393807	0.113251224	0.02420166	0.10889662
48	4800	0.022399329	0.10570418	0.021607665	0.11341393
49	4900	0.035554424	0.13215387	0.010731201	0.11098513
50	5000	0.014308022	0.11408827	0.0118927	0.109113246
51	5100	0.018832276	0.102660805	0.016315918	0.10984598
52	5200	0.018998181	0.13111576	0.023895873	0.108514465
53	5300	0.014098307	0.12077606	0.013093261	0.107895136
54	5400	0.021923037	0.12558156	0.008311157	0.11510912
55	5500	0.013981154	0.11036594	0.010358887	0.10676475
56	5600	0.03463404	0.099636555	0.018947754	0.10666717
57	5700	0.018763507	0.11638228	0.016166076	0.11826905
58	5800	0.016464533	0.103488185	0.009741516	0.107598454
59	5900	0.034355447	0.11287554	0.055733033	0.105443366
60	6000	0.0205034	0.101958774	0.008198547	0.10497374
61	6100	0.01951968	0.118697844	0.008522949	0.10517956
62	6200	0.015635096	0.109945565	0.009757996	0.10594958
63	6300	0.018351438	0.11194362	0.021427613	0.10505866
64	6400	0.029524421	0.124832995	0.04283203	0.102043904
65	6500	0.020259034	0.11011055	0.011584167	0.10294326
66	6600	0.026408866	0.11180377	0.04087494	0.10218657
67	6700	0.010643085	0.09594784	0.010470276	0.10129604
68	6800	0.023846274	0.10436321	0.033423156	0.10751065
69	6900	0.012283348	0.104088895	0.0085742185	0.10109658
70	7000	0.033099983	0.11558755	0.013927612	0.100524314
71	7100	0.021361368	0.09690699	0.02681671	0.103212185
72	7200	0.012333109	0.10404312	0.016153565	0.10035699
73	7300	0.010111714	0.08759316	0.010953674	0.10012473
74	7400	0.013563777	0.104101814	0.009145813	0.09994055
75	7500	0.021773567	0.11215863	0.02377716	0.102314636
76	7600	0.016579494	0.106117584	0.013102417	0.097575836
77	7700	0.012515911	0.09562501	0.008413391	0.09793179
78	7800	0.016430963	0.0951096	0.020038757	0.10099853
79	7900	0.03415496	0.10007372	0.0095578	0.0980674
80	8000	0.018212385	0.111453265	0.008237	0.10194571
81	8100	0.023212481	0.11439059	0.02869873	0.10045469
82	8200	0.024252832	0.10358224	0.028030701	0.10686583
83	8300	0.018649578	0.10094623	0.009614257	0.096910775
84	8400	0.022688221	0.09586254	0.03146179	0.095258735
85	8500	0.019553173	0.104347005	0.03269989	0.10003449
86	8600	0.015024664	0.089876905	0.018428039	0.101303615
87	8700	0.028090661	0.11575261	0.023022765	0.108537644
88	8800	0.023976458	0.106099926	0.035847474	0.09547761
89	8900	0.014779102	0.08435577	0.023771362	0.09408062
90	9000	0.020363797	0.10478336	0.022646483	0.09643333
91	9100	0.017735872	0.10211158	0.031307068	0.095037155
92	9200	0.016766796	0.095712855	0.024457397	0.09321612
93	9300	0.016239842	0.08643459	0.011895142	0.094417065
94	9400	0.013889683	0.0867585	0.006253662	0.0977703
95	9500	0.01990253	0.09368702	0.016526794	0.0948449
96	9600	0.018060172	0.10516266	0.018063353	0.093595065
97	9700	0.012862865	0.098985426	0.0062094117	0.09367411
98	9800	0.014233	0.08516841	0.0055126953	0.09301936
99	9900	0.018090295	0.09248898	0.011567382	0.09384428
100	10000	0.010162904	0.08522582	0.0102380365	0.09341815
101	10100	0.008306507	0.089018434	0.0064617917	0.09524537
102	10200	0.012533222	0.08954005	0.0059545897	0.09278569
103	10300	0.015439248	0.09529219	0.013211975	0.09732766
104	10400	0.015654774	0.09510779	0.00805603	0.091087855
105	10500	0.015246843	0.0970421	0.008947449	0.09455358
106	10600	0.02282466	0.093931794	0.015654601	0.09271622
107	10700	0.017722227	0.103685334	0.013500976	0.10384478
108	10800	0.026801161	0.090043746	0.024411926	0.09051646
109	10900	0.011796388	0.09758278	0.017077941	0.09001207
110	11000	0.017997632	0.08830649	0.019027099	0.0872626
111	11100	0.013918369	0.09268067	0.008955383	0.090454556
112	11200	0.016627647	0.08904757	0.020606384	0.092406474
113	11300	0.022881458	0.08711645	0.043433227	0.09432089
114	11400	0.019116571	0.10575043	0.024998778	0.08999592
115	11500	0.013766464	0.09868635	0.017283324	0.09022261
116	11600	0.033544533	0.102591254	0.030549927	0.09200434
117	11700	0.010694372	0.088672854	0.0071673584	0.091540314
118	11800	0.015356937	0.088753134	0.0133471675	0.08846597
119	11900	0.011549331	0.08807915	0.007016296	0.10165461
120	12000	0.011369681	0.09468864	0.005349121	0.0913874
121	12100	0.02755008	0.097751535	0.042423707	0.08910829
122	12200	0.018555531	0.08893749	0.009683533	0.086790144
123	12300	0.0130138025	0.09488328	0.015377807	0.09359296
124	12400	0.013450333	0.08118698	0.0066171265	0.08709148
125	12500	0.01402384	0.09234559	0.009295044	0.0938627
126	12600	0.008910561	0.09413558	0.013205871	0.09974333
127	12700	0.017788924	0.08623784	0.010967407	0.0882547
128	12800	0.030405017	0.09324719	0.0543161	0.087181605
129	12900	0.010007799	0.07862075	0.0054733274	0.084974505
130	13000	0.029289823	0.08551508	0.01730957	0.094912134
131	13100	0.012723504	0.08706136	0.009223938	0.086554855
132	13200	0.015177939	0.09033535	0.0044622803	0.09318108
133	13300	0.0144502595	0.07704674	0.020729674	0.08620641
134	13400	0.022813996	0.0813676	0.010385437	0.08595422
135	13500	0.010743694	0.086492166	0.017902527	0.08731364
136	13600	0.014658846	0.092046455	0.020505982	0.09048842
137	13700	0.016258063	0.09294641	0.004824524	0.08622569
138	13800	0.0215348	0.09199348	0.013378601	0.08824543
139	13900	0.016854055	0.08734563	0.017883606	0.08947577
140	14000	0.012657946	0.09408468	0.013621216	0.0863472
141	14100	0.015654847	0.09521363	0.02612152	0.08620546
142	14200	0.025989978	0.09112389	0.014685669	0.08471056
143	14300	0.013528426	0.07910983	0.0070202635	0.083941445
144	14400	0.014282868	0.08803246	0.015055236	0.08433274
145	14500	0.025378017	0.09262816	0.011124573	0.08906065
146	14600	0.012482334	0.082966186	0.006799316	0.08484694
147	14700	0.02556666	0.08803017	0.019999083	0.083464526
148	14800	0.014054519	0.08074097	0.012076416	0.081893615
149	14900	0.017408893	0.085192114	0.014706726	0.08825611
150	15000	0.009676452	0.08852925	0.0106689455	0.08466582
151	15100	0.010016265	0.07248971	0.006001892	0.08387008
152	15200	0.009383409	0.08819561	0.0054956055	0.08543515
153	15300	0.01256191	0.080755554	0.005992126	0.0859675
154	15400	0.013787441	0.080125704	0.014535522	0.08783414
155	15500	0.01724148	0.0913963	0.039432067	0.08366238
156	15600	0.013169989	0.07906025	0.008716125	0.08147443
157	15700	0.00899613	0.08588509	0.0053552245	0.082005456
158	15800	0.016279357	0.091095164	0.018531494	0.08297796
159	15900	0.01731253	0.08614552	0.022323914	0.084714875
160	16000	0.013728011	0.08877502	0.010178222	0.08291823
161	16100	0.015148613	0.08480189	0.009587097	0.09624722
162	16200	0.008086083	0.08337107	0.0057479856	0.08274251
163	16300	0.014525479	0.08763638	0.0053518675	0.0835392
164	16400	0.010650641	0.0721775	0.008822632	0.085052654
165	16500	0.012694323	0.09436562	0.01570343	0.08346315
166	16600	0.010516136	0.08142044	0.007945252	0.0851565
167	16700	0.013330759	0.09612272	0.017539673	0.083454564
168	16800	0.009992585	0.08633288	0.0063940426	0.08457426
169	16900	0.008521249	0.08022798	0.004413147	0.08225578
170	17000	0.019624252	0.08585832	0.009937134	0.083795644
171	17100	0.010175283	0.08209099	0.00881134	0.081866995
172	17200	0.011765422	0.088730454	0.007368774	0.0808638
173	17300	0.01840846	0.08584803	0.020868834	0.092043936
174	17400	0.0066894726	0.08273581	0.0061853025	0.0851448
175	17500	0.009687985	0.08140987	0.015326538	0.083320744
176	17600	0.011463941	0.08457825	0.0054507446	0.08620609
177	17700	0.0076764207	0.07275719	0.0089675905	0.08112335
178	17800	0.010365234	0.07426966	0.00812439	0.082684465
179	17900	0.010537286	0.07894467	0.007677002	0.08610555
180	18000	0.01941853	0.09065478	0.017271118	0.08392297
181	18100	0.008015925	0.072103314	0.0068942257	0.08048533
182	18200	0.015571155	0.08547443	0.009110107	0.07856766
183	18300	0.01080731	0.08046544	0.0068463134	0.08168579
184	18400	0.024976114	0.08088185	0.0238974	0.080661446
185	18500	0.016684478	0.08347092	0.014532776	0.08652614
186	18600	0.007841411	0.07581072	0.005711975	0.07969296
187	18700	0.009881014	0.082966015	0.022177733	0.08474138
188	18800	0.023106627	0.08813083	0.021766968	0.083880745
189	18900	0.015932959	0.09296679	0.022193298	0.09299299
190	19000	0.009846913	0.07467514	0.009706115	0.078185126
191	19100	0.015815271	0.076786995	0.019617004	0.08253199
192	19200	0.013921741	0.08193131	0.00612854	0.077747196
193	19300	0.016967284	0.064718165	0.0059564207	0.0786464
194	19400	0.012607555	0.0799506	0.0048660277	0.0780766
195	19500	0.010837863	0.0737511	0.0049276734	0.08019425
196	19600	0.014941579	0.084001355	0.015135803	0.09081112
197	19700	0.017971106	0.09057906	0.032117005	0.08807277
198	19800	0.029729199	0.08551801	0.024144286	0.08867938
199	19900	0.008303364	0.08362235	0.012614136	0.082578756
200	20000	0.009295525	0.07990199	0.011946105	0.078225724
201	20100	0.005491932	0.07533544	0.01020813	0.07879189
202	20200	0.009497062	0.075388774	0.015577393	0.07803585
203	20300	0.015021382	0.07758003	0.012029724	0.078469016
204	20400	0.012864854	0.07114	0.02465515	0.0808803
205	20500	0.014748096	0.0832767	0.01138031	0.08003313
206	20600	0.01569262	0.074956454	0.017564697	0.08680577
207	20700	0.0067963856	0.0771923	0.0074627683	0.07816414
208	20800	0.017683286	0.07244974	0.021242065	0.08123537
209	20900	0.0122927325	0.07575607	0.01247467	0.077880576
210	21000	0.011102081	0.07723851	0.012722778	0.07864511
211	21100	0.010487772	0.075618796	0.014651794	0.07994929
212	21200	0.012741156	0.075719364	0.010778808	0.07878713
213	21300	0.013729138	0.081177354	0.023689575	0.078475185
214	21400	0.023153204	0.08193302	0.028101806	0.07826534
215	21500	0.018309392	0.07443102	0.009098206	0.077954225
216	21600	0.007035855	0.08074871	0.0047540283	0.07807964
217	21700	0.01603056	0.08446051	0.015450134	0.07972034
218	21800	0.016055036	0.08068769	0.027868042	0.07738618
219	21900	0.008552628	0.07794777	0.0063137817	0.07839589
220	22000	0.0098610725	0.09304787	0.0072369385	0.075148195
221	22100	0.010009214	0.07408067	0.0041415403	0.07718178
222	22200	0.021010239	0.08364283	0.03485504	0.079557404
223	22300	0.011811994	0.079959504	0.025576476	0.08093336
224	22400	0.018198458	0.08401798	0.02602478	0.08244072
225	22500	0.01808471	0.0803848	0.0038455199	0.07692462
