#epoch	step	MAE/at	MAEF	Val_MAE/at	Val_MAEF
1	100	0.13559274	0.91953796	0.118257776	0.87972367
2	200	0.12847015	0.79879373	0.10962848	0.742618
3	300	0.114616096	0.65679395	0.10728977	0.64248997
4	400	0.08908102	0.6142833	0.10523541	0.57959044
5	500	0.081727326	0.5440935	0.071692534	0.5614118
6	600	0.070754424	0.55947804	0.06256975	0.5339734
7	700	0.09338864	0.52280587	0.06043536	0.5273734
8	800	0.06788225	0.55565876	0.06510272	0.5096965
9	900	0.07631474	0.5668074	0.06047369	0.50453
10	1000	0.07410295	0.49107632	0.08392803	0.48901808
11	1100	0.08390577	0.49669337	0.10391349	0.49124473
12	1200	0.067423455	0.4631684	0.08140983	0.48235515
13	1300	0.057104886	0.47431764	0.0931028	0.4721667
14	1400	0.07925029	0.49012983	0.07321125	0.46604028
15	1500	0.05231148	0.4711006	0.05331457	0.45499417
16	1600	0.073880166	0.48648667	0.051622406	0.45354655
17	1700	0.06573129	0.49722293	0.05366692	0.4419841
18	1800	0.052869122	0.40221852	0.051182557	0.4413834
19	1900	0.059827678	0.4655963	0.05089079	0.4480209
20	2000	0.05357922	0.43876797	0.06951919	0.43865865
21	2100	0.05150014	0.42726353	0.054634005	0.4446709
22	2200	0.054869577	0.37662083	0.05295911	0.42450732
23	2300	0.06741448	0.48381078	0.050966606	0.42162982
24	2400	0.047613487	0.40712416	0.048382398	0.41307697
25	2500	0.05487271	0.45705372	0.044505127	0.4095337
26	2600	0.06791569	0.43870667	0.04760157	0.41205725
27	2700	0.06308861	0.41123927	0.06126779	0.4078079
28	2800	0.05529006	0.43005064	0.055057567	0.4037438
29	2900	0.069548436	0.42565656	0.058308214	0.41066134
30	3000	0.05427438	0.3936629	0.046390504	0.3996282
31	3100	0.06620452	0.39674827	0.067779094	0.3965456
32	3200	0.051103532	0.39178932	0.071054064	0.40226847
33	3300	0.06831079	0.42101982	0.0766976	0.38922235
34	3400	0.057583503	0.40506008	0.057553805	0.38871896
35	3500	0.052308343	0.38947684	0.08178275	0.39007637
36	3600	0.044130582	0.39387128	0.075217724	0.383859
37	3700	0.05926046	0.3876223	0.08147152	0.38549638
38	3800	0.05347089	0.3835469	0.09140679	0.38016152
39	3900	0.05072252	0.3782127	0.05274117	0.37843582
40	4000	0.047201805	0.40376684	0.056754522	0.37564448
41	4100	0.053566203	0.36758175	0.04132759	0.3821234
42	4200	0.0567431	0.41359708	0.046984334	0.37841982
43	4300	0.055355	0.41017586	0.043042894	0.3800236
44	4400	0.055063646	0.40331915	0.06344615	0.37648866
45	4500	0.055850603	0.39700988	0.06973469	0.37264517
46	4600	0.050023053	0.3676492	0.043725207	0.37151316
47	4700	0.0521976	0.3572798	0.041389756	0.3628899
48	4800	0.04531247	0.36954287	0.052611742	0.3603451
49	4900	0.070552595	0.40696684	0.054742984	0.37229076
50	5000	0.048779424	0.38944313	0.048030168	0.35815486
51	5100	0.07053107	0.38525337	0.07365914	0.3599863
