#epoch	step	MAE/at	MAEF	Val_MAE/at	Val_MAEF
1	100	0.1380541	0.90453285	0.18201524	0.9039583
2	200	0.14236939	0.7911787	0.14886938	0.81388205
3	300	0.108003736	0.66176033	0.12344416	0.73642075
4	400	0.10840562	0.6401412	0.09445382	0.6718212
5	500	0.11351486	0.6414478	0.09891126	0.6337374
6	600	0.0903458	0.6006807	0.11509273	0.5996428
7	700	0.06997675	0.5754289	0.09200072	0.57956064
8	800	0.13711785	0.49247253	0.13084751	0.5625579
9	900	0.08206524	0.53348804	0.09555529	0.531942
10	1000	0.091097794	0.5019068	0.110659204	0.52139616
11	1100	0.082295634	0.49440777	0.06866536	0.49870515
12	1200	0.098272316	0.5075279	0.059217796	0.48742044
13	1300	0.081926815	0.47242063	0.077545404	0.48096064
14	1400	0.07771739	0.4440818	0.068793915	0.46702686
15	1500	0.06871023	0.43701488	0.06064214	0.45595613
16	1600	0.08810073	0.48992175	0.06767869	0.45483944
17	1700	0.06629091	0.46489552	0.08432667	0.4431451
18	1800	0.08157446	0.4312577	0.06480857	0.43446165
19	1900	0.06939111	0.40008962	0.0730524	0.42738461
20	2000	0.06489023	0.4029579	0.06513221	0.42929298
21	2100	0.06569384	0.4137565	0.1347831	0.41926086
22	2200	0.09047781	0.46172366	0.06539849	0.40409073
23	2300	0.060381867	0.4054149	0.06970562	0.40723655
24	2400	0.072517045	0.38477096	0.06498035	0.40043992
25	2500	0.066983	0.39580113	0.09663712	0.39504236
26	2600	0.066130355	0.3888086	0.06253906	0.38815138
27	2700	0.08359848	0.41152257	0.10600221	0.39250195
28	2800	0.06679623	0.4366466	0.085039064	0.38509384
29	2900	0.05866559	0.4268058	0.06389356	0.3858947
30	3000	0.06408085	0.38248068	0.07124088	0.3742113
31	3100	0.06705357	0.4222812	0.09779783	0.37431595
32	3200	0.07881011	0.3916549	0.0878677	0.37213367
33	3300	0.06221384	0.33765686	0.06650854	0.3727821
34	3400	0.054369368	0.40031254	0.085923545	0.36570683
35	3500	0.076670654	0.36296165	0.08000167	0.37272856
36	3600	0.0830269	0.3896473	0.078678064	0.36285102
37	3700	0.06735898	0.33583945	0.058661114	0.36048195
38	3800	0.079997756	0.37892082	0.07751611	0.39117482
39	3900	0.061019	0.38214654	0.0668825	0.36175048
40	4000	0.069008425	0.35966945	0.06760227	0.3504303
41	4100	0.048676677	0.3435324	0.05102362	0.3581341
42	4200	0.064635105	0.3627806	0.06693744	0.35260716
43	4300	0.07146938	0.3467939	0.056056097	0.35336795
44	4400	0.055892628	0.3452001	0.06235293	0.34402946
45	4500	0.06044498	0.35688448	0.058604144	0.3470754
46	4600	0.07091775	0.36689425	0.07401334	0.3614941
47	4700	0.06298438	0.38977507	0.053604648	0.3485988
48	4800	0.077132985	0.3610903	0.07894827	0.3342189
49	4900	0.056654364	0.35481852	0.07641907	0.34627938
50	5000	0.06489716	0.3756922	0.06760028	0.34248316
51	5100	0.057554048	0.34245563	0.055545963	0.34015158
52	5200	0.068772145	0.3409831	0.07979201	0.3370073
53	5300	0.055670023	0.34337127	0.062272705	0.34885612
54	5400	0.06390652	0.3696387	0.0649436	0.34597483
55	5500	0.0532666	0.3260091	0.056302775	0.3380437
56	5600	0.06416145	0.36700448	0.0808255	0.33048356
57	5700	0.054995283	0.36627722	0.057643592	0.3395728
58	5800	0.06929002	0.36681923	0.09484582	0.3372274
59	5900	0.054262504	0.32460302	0.054015335	0.33826467
60	6000	0.052489888	0.33299822	0.08713001	0.32785037
61	6100	0.04842768	0.327787	0.050752886	0.3384759
62	6200	0.080577746	0.32631737	0.08249965	0.33301866
63	6300	0.061877776	0.34212118	0.09083382	0.33407065
64	6400	0.057688583	0.31051946	0.083268896	0.32144052
65	6500	0.04872418	0.3329152	0.056262605	0.33043635
66	6600	0.069348454	0.3101503	0.05958755	0.3248707
67	6700	0.06702102	0.34214693	0.06885434	0.33317935
68	6800	0.072401375	0.31521606	0.07141941	0.33195555
69	6900	0.055640716	0.2931573	0.04624144	0.32536712
70	7000	0.052237276	0.33580047	0.053279843	0.32742557
71	7100	0.06402375	0.32226065	0.057702195	0.31641588
72	7200	0.05433723	0.33513206	0.10317491	0.33238924
73	7300	0.048130695	0.31452084	0.047076114	0.32460567
74	7400	0.08083553	0.33225307	0.07422721	0.32838285
75	7500	0.059532598	0.33781603	0.058553543	0.3209775
76	7600	0.067462035	0.33251113	0.070772186	0.32353735
77	7700	0.06309968	0.3181141	0.07246633	0.31612563
78	7800	0.08578217	0.3547284	0.059626043	0.32361016
79	7900	0.047864772	0.2990413	0.04445041	0.3147225
80	8000	0.054215815	0.3152829	0.063124605	0.31803885
81	8100	0.047523845	0.3045447	0.043651685	0.3110981
82	8200	0.06489626	0.33531916	0.06098212	0.3195989
83	8300	0.049679115	0.27629563	0.049027815	0.31055185
84	8400	0.04437677	0.31548503	0.047727484	0.31527987
85	8500	0.047100846	0.28735396	0.048269868	0.3115511
86	8600	0.07337936	0.32172704	0.09341162	0.31891766
87	8700	0.049437318	0.28531915	0.049664795	0.30982196
88	8800	0.049842015	0.33367765	0.08950452	0.3247053
89	8900	0.046720598	0.28783926	0.054095343	0.31191757
90	9000	0.05894159	0.3406191	0.05382143	0.31235668
91	9100	0.0510557	0.34591246	0.051991656	0.3078274
92	9200	0.04897321	0.3335292	0.044448826	0.30763522
93	9300	0.054911118	0.28908876	0.054077677	0.31454566
94	9400	0.049452472	0.30172613	0.04620679	0.313904
95	9500	0.049789134	0.2975474	0.057936072	0.3060653
96	9600	0.051968288	0.32717988	0.043213673	0.3046833
97	9700	0.049090274	0.25343665	0.056784157	0.306322
98	9800	0.04756072	0.2937187	0.04600534	0.32346115
99	9900	0.03881312	0.27064198	0.050888803	0.30636302
100	10000	0.0522091	0.29349923	0.049030937	0.3049075
101	10100	0.051497534	0.28755152	0.045626577	0.30071226
102	10200	0.06105325	0.29112807	0.051298253	0.29748157
103	10300	0.051702444	0.29023904	0.04725472	0.29688907
104	10400	0.057005588	0.28204918	0.084232025	0.30468386
105	10500	0.050615545	0.27374184	0.055262744	0.3085964
106	10600	0.059889704	0.3162959	0.08447115	0.3117698
107	10700	0.04596767	0.2964772	0.054114893	0.29934847
108	10800	0.055934057	0.30346525	0.06650726	0.3194313
109	10900	0.038452916	0.29823878	0.057362694	0.30257142
110	11000	0.059339985	0.290901	0.061357133	0.3074028
111	11100	0.0569767	0.29649338	0.05969729	0.29989335
112	11200	0.04757074	0.31919792	0.05623184	0.3231278
113	11300	0.05501523	0.28876033	0.052896842	0.29998636
114	11400	0.05051464	0.2907439	0.04263062	0.3218378
115	11500	0.06695004	0.30920893	0.06826601	0.29608867
116	11600	0.04603511	0.30288422	0.046244454	0.29601368
117	11700	0.048560087	0.30556944	0.045997057	0.2961214
118	11800	0.06406347	0.29666376	0.0865498	0.30859873
119	11900	0.03840922	0.25538722	0.043554425	0.2966741
120	12000	0.050449613	0.3102864	0.050604954	0.29267478
121	12100	0.040370446	0.3309045	0.059613746	0.29104665
122	12200	0.050074708	0.28267747	0.05216117	0.29666877
123	12300	0.03704707	0.3019374	0.04157435	0.30958337
124	12400	0.061780374	0.30705228	0.07446208	0.2998107
125	12500	0.03958614	0.3227517	0.043889474	0.29116696
126	12600	0.053855576	0.28214997	0.057889517	0.29802224
127	12700	0.042737477	0.2849359	0.050764408	0.28791514
128	12800	0.07353355	0.29621264	0.056146078	0.29397833
129	12900	0.042530797	0.28656912	0.041865986	0.28774476
130	13000	0.05316257	0.3045554	0.056786403	0.29246652
131	13100	0.05353923	0.297926	0.070775405	0.29287535
132	13200	0.06562982	0.3178645	0.09007431	0.28976244
133	13300	0.037081517	0.26967752	0.04159407	0.2915734
134	13400	0.06267235	0.31936896	0.09108548	0.3146237
135	13500	0.049773127	0.29056856	0.05332918	0.29219764
136	13600	0.043841764	0.29073614	0.04147103	0.3004837
137	13700	0.035229594	0.25587603	0.05159566	0.2853541
138	13800	0.054627012	0.31058452	0.04692917	0.28729448
139	13900	0.038129423	0.267142	0.048851345	0.2828948
140	14000	0.07192109	0.27219263	0.04377085	0.29319113
141	14100	0.063642666	0.29962817	0.059109025	0.2877793
142	14200	0.04680936	0.26444283	0.037625846	0.2792286
143	14300	0.040007245	0.27532953	0.07763045	0.2927589
144	14400	0.05234425	0.30815277	0.0702786	0.28629988
145	14500	0.050630208	0.29882887	0.07381763	0.28829628
146	14600	0.049263664	0.2958157	0.046287045	0.2823634
147	14700	0.055619255	0.3032863	0.049894724	0.29650486
148	14800	0.052686572	0.30151534	0.044748273	0.2895761
149	14900	0.052061744	0.30296266	0.045345534	0.2944855
150	15000	0.047743935	0.26838154	0.047825284	0.29119164
151	15100	0.046935596	0.30799997	0.054585464	0.28306732
152	15200	0.060057078	0.2865616	0.06265713	0.2865151
153	15300	0.046264526	0.29416794	0.08131153	0.28472632
154	15400	0.053131297	0.29493314	0.083856225	0.28740233
155	15500	0.04070806	0.25738907	0.054755095	0.28249675
156	15600	0.046360623	0.28067413	0.048439115	0.28547758
157	15700	0.046162196	0.29942366	0.04478619	0.28408974
158	15800	0.056263264	0.27832747	0.044011634	0.28269866
159	15900	0.04978757	0.29680187	0.040335875	0.2882739
160	16000	0.047228277	0.28053808	0.052005216	0.2957253
161	16100	0.05133095	0.28647888	0.046174765	0.27689794
162	16200	0.038642645	0.28754315	0.03931262	0.27664784
163	16300	0.038778752	0.26634285	0.041893605	0.28060043
164	16400	0.03834802	0.2701764	0.061770074	0.29262754
165	16500	0.035121758	0.29510862	0.04090578	0.28641418
166	16600	0.057056323	0.28097957	0.055211157	0.2811407
167	16700	0.04088506	0.2618148	0.046833247	0.2819611
168	16800	0.06273922	0.2858855	0.03783792	0.2794207
169	16900	0.04209251	0.26177835	0.03934946	0.27490944
170	17000	0.045409538	0.2570359	0.04383174	0.28737095
171	17100	0.036796533	0.26783523	0.04115831	0.27946082
172	17200	0.040391404	0.27606004	0.042273384	0.27695405
173	17300	0.039343666	0.28387693	0.051776305	0.29298812
174	17400	0.061096013	0.2434585	0.059308007	0.27568316
175	17500	0.03133792	0.25300652	0.047040302	0.28651077
176	17600	0.06275749	0.25248444	0.04929718	0.28838596
177	17700	0.05023148	0.26916203	0.08831183	0.27911174
178	17800	0.052723464	0.2828859	0.051324904	0.2768434
179	17900	0.040351693	0.2625387	0.056118477	0.28046626
180	18000	0.04747279	0.28576034	0.050787997	0.28801468
181	18100	0.04150326	0.27310437	0.036995318	0.2759829
182	18200	0.049001805	0.28170997	0.054162096	0.27960065
183	18300	0.051879063	0.27027944	0.052754786	0.27790034
184	18400	0.043551918	0.27883917	0.045572013	0.28690845
185	18500	0.043487687	0.287383	0.040985506	0.2760279
186	18600	0.053334817	0.2777319	0.040545903	0.27257663
187	18700	0.0416785	0.27040517	0.068509154	0.27426606
188	18800	0.04743645	0.26958504	0.054965854	0.2838976
189	18900	0.036581527	0.2736635	0.05152939	0.28235063
190	19000	0.051178634	0.261672	0.046967804	0.27259612
191	19100	0.036066793	0.27918664	0.039456807	0.28335735
192	19200	0.04512327	0.28170907	0.053450998	0.2838246
193	19300	0.037366685	0.28465506	0.045300093	0.27918005
194	19400	0.054703493	0.2900592	0.049237717	0.2739148
195	19500	0.039787017	0.29929873	0.042727083	0.29043847
196	19600	0.047592204	0.25371546	0.044410396	0.27769914
197	19700	0.038016275	0.27430654	0.05636464	0.27063847
198	19800	0.045693196	0.2696927	0.044942793	0.2740891
199	19900	0.037928496	0.25540897	0.043961767	0.2796759
200	20000	0.035953756	0.26662385	0.048625983	0.27582106
201	20100	0.0378976	0.25951645	0.041180767	0.2731787
202	20200	0.04293515	0.25846896	0.037670024	0.27241495
203	20300	0.061829843	0.24752098	0.107673556	0.27671203
204	20400	0.046398833	0.26491812	0.040631797	0.27175522
205	20500	0.04569111	0.25402528	0.052434284	0.27802986
206	20600	0.03630889	0.26065028	0.03818182	0.27373675
207	20700	0.037801318	0.28235868	0.03744495	0.28067166
208	20800	0.048339818	0.24804386	0.047951758	0.2739012
209	20900	0.036747724	0.2672633	0.052286137	0.27267268
210	21000	0.04618223	0.23660359	0.056859255	0.27524787
211	21100	0.04073354	0.26227742	0.06465243	0.28074446
