#epoch	step	MAE/at	MAEF	Val_MAE/at	Val_MAEF
1	100	0.13616686	0.8019223	0.17181344	0.89718664
2	200	0.09847527	0.81214345	0.11685516	0.8127282
3	300	0.11449271	0.71252745	0.13499562	0.7485079
4	400	0.10574803	0.6077211	0.120262556	0.67832065
5	500	0.09502944	0.58955073	0.08960714	0.63860345
6	600	0.06946068	0.5365251	0.08022074	0.6223258
7	700	0.1225166	0.5273799	0.08329376	0.5915789
8	800	0.10017904	0.50300384	0.08974518	0.5789885
9	900	0.07295477	0.4671127	0.06574768	0.56228596
10	1000	0.062047794	0.51097876	0.07862773	0.54409826
11	1100	0.082043014	0.4961458	0.14897685	0.52852654
12	1200	0.085422456	0.45949224	0.111787714	0.5171369
13	1300	0.07016443	0.5132067	0.056937665	0.50746936
14	1400	0.07064296	0.44780904	0.06746094	0.48808718
15	1500	0.06905515	0.44675747	0.058383282	0.4819798
16	1600	0.078789316	0.4328913	0.08380117	0.48716462
17	1700	0.06483738	0.4319942	0.07117452	0.47849134
18	1800	0.07204621	0.41873643	0.07668335	0.4656746
19	1900	0.072056025	0.39280424	0.057816464	0.4637519
20	2000	0.07527619	0.42026642	0.0945815	0.45708343
21	2100	0.062316116	0.39576107	0.063177384	0.46544486
22	2200	0.057936866	0.39273426	0.0604186	0.45080063
23	2300	0.064491615	0.35845888	0.061132204	0.44656584
24	2400	0.06201076	0.3337357	0.058952432	0.43570504
25	2500	0.07637949	0.39227536	0.07780467	0.43803424
26	2600	0.056480482	0.32311743	0.058912355	0.438785
27	2700	0.074452266	0.35705894	0.06883616	0.4259866
28	2800	0.056311276	0.36150816	0.082254425	0.4300563
29	2900	0.062905595	0.37077782	0.067991436	0.434796
30	3000	0.06365515	0.36904573	0.055433553	0.43663526
31	3100	0.054210734	0.39308205	0.08611674	0.42599177
32	3200	0.06383098	0.38904732	0.050474446	0.42895532
33	3300	0.055176318	0.29558173	0.07304067	0.429616
34	3400	0.0691526	0.34966293	0.07168477	0.42277342
35	3500	0.05446796	0.35330933	0.05821706	0.42004323
36	3600	0.057072945	0.37701735	0.07805938	0.42138833
37	3700	0.04651294	0.2993117	0.075533755	0.42069802
38	3800	0.07069512	0.35828385	0.055669654	0.40724245
39	3900	0.048941147	0.32198772	0.0707902	0.41454834
