#epoch	step	MAE/at	MAEF	Val_MAE/at	Val_MAEF
1	1000	0.10220279	0.4059156	0.108015254	0.3818505
2	2000	0.104863584	0.37680474	0.10368032	0.35421413
3	3000	0.10311194	0.33405998	0.09197777	0.33792555
4	4000	0.096434936	0.3303065	0.11369634	0.32936656
5	5000	0.11295043	0.35474524	0.09379288	0.34646863
6	6000	0.08774995	0.29596692	0.09092128	0.31094578
7	7000	0.08384036	0.29752883	0.08337326	0.29933214
8	8000	0.08696571	0.2994329	0.07926224	0.3024674
9	9000	0.07365278	0.27409098	0.0750459	0.2944899
10	10000	0.08518383	0.28665957	0.09025836	0.29480135
11	11000	0.094433844	0.28739983	0.08185072	0.2853753
12	12000	0.07360125	0.27038735	0.07366133	0.28104833
13	13000	0.081728205	0.27962917	0.07577381	0.27870318
14	14000	0.073455445	0.27646375	0.08446713	0.28182825
15	15000	0.07433572	0.27667463	0.07167718	0.2808952
16	16000	0.06922148	0.2506462	0.06704486	0.271622
17	17000	0.075892024	0.2683669	0.08070097	0.272244
18	18000	0.069835044	0.26277128	0.098939314	0.2709726
19	19000	0.075271085	0.28478017	0.07504455	0.27633494
20	20000	0.079298854	0.26679057	0.069280766	0.27130195
21	21000	0.06913617	0.25345185	0.06730646	0.27074346
22	22000	0.072096415	0.24669899	0.08245554	0.26570234
23	23000	0.07271631	0.26082876	0.07301501	0.27036428
24	24000	0.07800596	0.25289792	0.06731809	0.2666781
25	25000	0.073872216	0.24583113	0.090820216	0.26546273
26	26000	0.07885939	0.25885978	0.07581722	0.26650146
27	27000	0.07125323	0.24450825	0.0696536	0.27206123
28	28000	0.06557339	0.23986474	0.0628071	0.2611047
29	29000	0.074973665	0.25391847	0.08161542	0.26438466
30	30000	0.07734872	0.24561448	0.09826143	0.26411325
31	31000	0.06616876	0.24969494	0.07052344	0.26868445
32	32000	0.06589794	0.2396308	0.09062558	0.26321504
33	33000	0.06869805	0.23381573	0.0872582	0.25626725
34	34000	0.06579847	0.24118331	0.066744044	0.26013955
35	35000	0.07245182	0.2426205	0.06426557	0.25681636
36	36000	0.07729411	0.24407712	0.079798535	0.26513806
37	37000	0.068039834	0.2353616	0.063635156	0.2598721
38	38000	0.0664084	0.24163942	0.0637803	0.25950474
39	39000	0.0661944	0.23729332	0.07021589	0.2580472
40	40000	0.06363384	0.22816351	0.068251245	0.25783926
41	41000	0.06921769	0.24680485	0.06757922	0.26057827
42	42000	0.07208055	0.24374895	0.06825133	0.2580857
43	43000	0.067867376	0.24312703	0.066982195	0.25633568
44	44000	0.063188635	0.24017853	0.067823835	0.25634617
45	45000	0.068543874	0.23627956	0.061798714	0.25505176
46	46000	0.06681047	0.2285442	0.0669004	0.2528844
47	47000	0.06921536	0.23496374	0.06270924	0.2600532
48	48000	0.068793766	0.2307236	0.06393514	0.2556398
49	49000	0.05657534	0.22193487	0.061661657	0.2550043
50	50000	0.06402732	0.22550026	0.07055366	0.25644585
51	51000	0.063686535	0.23619351	0.06742278	0.25218773
52	52000	0.0734094	0.23007286	0.06479724	0.25744843
53	53000	0.060940284	0.21718132	0.0650644	0.2598608
54	54000	0.06200595	0.2251515	0.07835516	0.25127578
55	55000	0.065618016	0.22721477	0.060985614	0.2516503
56	56000	0.06639248	0.2322482	0.07104186	0.24979705
57	57000	0.059975892	0.22266074	0.063349664	0.25651786
58	58000	0.065976664	0.22295335	0.063959025	0.25781497
